info
B kategorijos vairuotojo pažymėjimas
Elektronikos praktinė patirtis
Projektų įgyvendinimas nuo idėjos iki realizacijos
"Domiuosi audio sistemomis, teko pervynioti ne vieną ŽD ir AD garsiakalbį, tad žinau kaip tai veikia."
